bid,pid,fid
640,4057,312
641,5389,334
642,1871,325
643,4165,471
644,15997,328
645,19353,986
646,13609,357
647,15555,872
648,5422,471
649,2815,180
650,3816,500
651,10560,880
652,7017,214
653,18717,524
654,1542,768
655,7389,956
656,4770,8
657,14739,386
658,4078,120
659,9321,668
660,16971,481
661,19877,701
662,5015,427
663,13703,490
664,8269,133
665,8487,483
666,3399,814
667,1373,856
668,9540,723
669,9873,897
670,8406,897
671,10083,803
672,1524,166
673,4402,377
674,921,506
675,8389,580
676,17464,611
677,3414,573
678,13798,858
679,16980,641
680,15712,157
681,16567,615
682,4687,69
683,8549,82
684,10890,180
685,13077,268
686,892,266
687,316,13
688,3355,591
689,10825,606
690,10459,834
691,17682,135
692,14185,831
693,1600,701
694,8194,699
695,8070,2
696,15920,908
697,16369,178
698,9542,962
699,3249,788
700,11148,91
701,9705,762
702,3120,260
703,14691,106
704,13633,818
705,10103,198
706,8300,320
707,1517,396
708,19307,226
709,17594,322
710,14638,160
711,1532,39
712,6508,925
713,1025,639
714,6521,321
715,5840,950
716,7244,2
717,17016,838
718,2603,800
719,1582,807
720,16920,605
721,9188,461
722,18195,855
723,5208,165
724,13181,939
725,5904,389
726,4833,201
727,4334,488
728,13650,909
729,5746,468
730,2988,776
731,18924,75
732,8854,270
733,250,544
734,3872,467
735,13911,623
736,16670,968
737,13754,823
738,7584,284
739,6573,13
740,17230,636
741,17377,608
742,18184,14
743,17590,348
744,3644,127
745,13891,302
746,5030,921
747,18349,451
748,15997,419
749,10648,160
750,18557,473
751,19078,728
752,16379,786
753,16355,83
754,19191,531
755,19625,108
756,12539,503
757,4623,370
758,6794,720
759,3459,684
760,13857,108
761,3307,73
762,19946,229
763,13049,435
764,3729,814
765,15414,891
766,10665,388
767,16284,268
768,17501,245
769,17754,359
770,2268,937
771,7028,50
772,8497,183
773,6000,462
774,4560,68
775,9053,218
776,13168,853
777,16134,41
778,2876,908
779,4311,9
780,626,782
781,19264,797
782,18840,399
783,12601,206
784,17750,635
785,6707,180
786,11815,321
787,5669,739
788,5083,208
789,13990,365
790,9518,979
791,3409,726
792,12980,647
793,5357,433
794,16409,423
795,6175,173
796,9873,358
797,17795,441
798,16030,979
799,10074,51
800,15599,151
801,10457,520
802,6787,717
803,3327,948
804,2274,830
805,6416,18
806,7302,107
807,7484,980
808,16346,756
809,17655,928
810,2993,961
811,11735,904
812,99,577
813,2584,920
814,4323,183
815,1886,697
816,9293,662
817,17078,152
818,12080,539
819,15436,299
820,4617,74
821,16875,608
822,8817,64
823,15108,625
824,14144,779
825,13675,131
826,8890,848
827,12709,175
828,13866,316
829,17983,187
830,5962,841
831,11714,666
832,12924,155
833,1801,177
834,1315,699
835,4397,165
836,6641,909
837,6733,503
838,4375,900
839,8944,488
840,9205,928
841,14103,458
842,14852,650
843,6343,589
844,2610,100
845,12662,128
846,18491,278
847,18525,988
848,19918,466
849,7202,898
850,17434,905
851,2321,465
852,10759,712
853,15269,303
854,14105,564
855,4058,383
856,8439,365
857,11465,417
858,11587,464
859,7921,242
860,5162,830
861,14895,524
862,13080,653
863,18095,892
864,17431,555
865,1888,107
866,6840,922
867,2158,570
868,18768,319
869,624,115
870,1130,939
871,1509,138
872,14858,116
873,17020,97
874,10797,520
875,2269,437
876,7768,375
877,17366,783
878,17548,706
879,12915,446
880,18900,94
881,13420,98
882,4018,565
883,4871,486
884,9257,909
885,4847,420
886,14318,785
887,9785,484
888,5389,133
889,10772,639
890,11589,780
891,582,638
892,19356,224
893,9385,784
894,792,900
895,2127,35
896,2475,963
897,15825,800
898,5498,751
899,780,23
900,6196,145
901,17724,646
902,14067,425
903,16960,941
904,16813,386
905,8007,804
906,11788,389
907,830,154
908,16084,778
909,15170,811
910,15877,412
911,6491,802
912,17631,798
913,2182,240
914,3261,409
915,12176,945
916,16874,884
917,17840,609
918,1599,368
919,18413,164
920,9683,786
921,11842,669
922,7487,728
923,2241,991
924,5400,780
925,11314,247
926,2223,52
927,11640,154
928,4736,418
929,1293,25
930,6521,268
931,3503,255
932,7922,264
933,17292,166
934,14135,541
935,1813,902
936,13774,99
937,547,722
938,2018,518
939,2973,925
940,9970,52
941,2647,167
942,668,731
943,13634,628
944,16060,798
945,7258,829
946,8726,119
947,2229,257
948,7338,415
949,9455,944
950,333,785
951,1784,417
952,3444,675
953,13921,260
954,2884,847
955,5530,82
956,16726,713
957,19347,276
958,10380,634
959,9989,93
960,4923,896
961,469,436
962,11961,90
963,9437,678
964,11995,835
965,6570,216
966,12287,518
967,5595,19
968,4552,982
969,10517,170
970,9977,835
971,8140,353
972,7621,855
973,286,183
974,16899,511
975,6253,268
976,3904,543
977,10912,889
978,12225,717
979,18563,876
980,11555,441
981,12877,871
982,14103,254
983,8013,421
984,9551,121
985,4492,382
986,11171,662
987,3063,601
988,120,970
989,7769,381
990,19358,192
991,12809,909
992,10742,988
993,7763,593
994,2543,433
995,2184,849
996,10522,274
997,16389,282
998,1101,185
999,18804,472
1000,8211,170
1001,10102,997
1002,1874,963
1003,318,428
1004,13858,493
1005,12710,197
1006,19597,246
1007,4717,418
1008,10067,743
1009,11997,184
1010,12473,536
1011,10323,88
1012,1013,570
1013,18995,954
1014,14371,520
1015,16425,212
1016,13276,930
1017,18955,161
1018,17343,804
1019,9844,571
1020,10892,675
1021,2358,585
1022,15866,647
1023,4954,716
1024,16076,308
1025,8484,457
1026,1287,565
1027,2996,742
1028,11646,842
1029,13806,964
1030,213,648
1031,10451,290
1032,15919,530
1033,5776,224
1034,9064,355
1035,6476,27
1036,15895,12
1037,11748,877
1038,11723,513
1039,9120,139
1040,3387,394
1041,624,111
1042,6309,5
1043,18769,877
1044,8976,270
1045,12774,332
1046,12716,879
1047,16950,43
1048,18098,698
1049,19398,817
1050,17349,80
1051,12064,203
1052,17874,176
1053,4103,838
1054,2145,622
1055,926,181
1056,16834,94
1057,16348,450
1058,12973,321
1059,5734,842
1060,16179,68
1061,8473,555
1062,2772,959
1063,8513,136
1064,409,776
1065,19805,490
1066,18594,578
1067,19504,370
1068,19664,943
1069,13985,369
1070,4731,301
1071,14003,315
1072,14822,564
1073,5263,653
1074,8820,715
1075,8022,934
1076,7455,243
1077,18156,940
1078,5936,269
1079,7447,199
1080,1321,90
1081,1790,776
1082,13923,643
1083,17375,151
1084,2070,95
1085,14658,370
1086,6118,114
1087,16797,465
1088,5383,803
1089,12127,488
1090,18292,398
1091,11567,972
1092,16141,383
1093,11367,428
1094,12270,57
1095,5622,755
1096,4404,150
1097,7226,87
1098,4554,723
1099,19044,793
1100,5423,693
1101,12116,848
1102,13153,137
1103,7271,695
1104,3897,825
1105,16201,247
1106,8517,464
1107,6281,748
1108,16729,45
1109,256,1000
1110,13154,980
1111,7720,649
1112,3798,377
1113,2417,562
1114,11081,971
1115,1668,237
1116,9726,681
1117,4327,440
1118,14207,176
1119,879,597
1120,18315,785
1121,11001,150
1122,10345,682
1123,3877,882
1124,9053,337
1125,4103,595
1126,16419,615
1127,3019,259
1128,40,309
1129,13550,934
1130,16263,361
1131,17216,462
1132,17491,499
1133,1517,209
1134,18410,392
1135,15212,331
1136,14162,72
1137,18686,386
1138,225,242
1139,12876,338
1140,3846,138
1141,16462,247
1142,8837,33
1143,19369,294
1144,1760,777
1145,10476,25
1146,6671,393
1147,14365,54
1148,12245,149
1149,11146,741
1150,585,58
1151,6960,257
1152,6402,144
1153,12701,39
1154,3302,353
1155,17794,710
1156,9498,424
1157,15827,893
1158,7239,888
1159,2963,294
1160,18157,337
1161,1424,163
1162,18095,301
1163,7275,368
1164,8840,562
1165,3462,187
1166,10028,147
1167,14512,481
1168,7300,941
1169,7556,917
1170,19934,314
1171,17758,21
1172,13255,635
1173,1558,125
1174,186,674
1175,2085,859
1176,16979,175
1177,1492,213
1178,2635,891
1179,249,32
1180,5266,979
1181,19004,775
1182,2264,472
1183,8042,723
1184,11865,557
1185,8854,256
1186,17135,181
1187,4897,301
1188,9635,82
1189,4393,198
1190,3304,869
1191,9269,584
1192,19902,974
1193,5367,280
1194,13578,433
1195,9035,883
1196,6539,38
1197,11965,356
1198,14630,584
1199,6409,356
1200,2117,885
1201,1483,905
1202,6565,879
1203,9983,499
1204,13267,128
1205,14871,947
1206,18287,446
1207,1337,616
1208,6502,521
1209,14848,790
1210,12396,259
1211,16423,322
1212,2232,142
1213,4889,835
1214,10352,252
1215,2909,137
1216,6155,294
1217,7216,463
1218,16751,937
1219,3574,158
1220,10456,19
1221,13281,335
1222,18260,424
1223,7089,102
1224,3889,776
1225,4884,943
1226,16,239
1227,4359,262
1228,3672,760
1229,10411,796
1230,1502,455
1231,19639,374
1232,18904,417
1233,5272,61
1234,2075,254
1235,453,988
1236,12458,56
1237,4818,326
1238,12187,34
1239,6199,346
1240,16376,905
1241,1597,31
1242,14354,351
1243,8563,49
1244,4895,30
1245,13707,420
1246,11543,404
1247,11916,505
1248,15134,668
1249,9682,839
1250,3993,546
1251,18513,190
1252,4705,774
1253,16867,834
1254,3108,734
1255,5118,6
1256,4570,159
1257,2024,656
1258,2368,156
1259,676,328
1260,16385,541
1261,290,957
1262,16156,365
1263,12978,116
1264,6207,601
1265,16552,886
1266,16505,647
1267,9575,377
1268,18363,279
1269,9620,522
1270,5778,739
1271,13284,161
1272,14932,35
1273,14370,401
1274,12889,762
1275,6221,718
1276,2283,562
1277,15394,882
1278,527,343
1279,5830,96
1280,1167,101
1281,9109,882
1282,2755,177
1283,13212,666
1284,414,555
1285,4297,191
1286,10014,343
1287,17068,523
1288,2939,862
1289,2468,245
1290,7986,417
1291,5901,954
1292,7532,453
1293,17282,34
1294,19454,803
1295,6899,506
1296,17653,281
1297,11712,774
1298,8797,317
1299,5252,169
1300,9650,473
1301,19012,32
1302,10694,575
1303,7884,979
1304,94,749
1305,11983,828
1306,3821,576
1307,19899,575
1308,4555,845
1309,2483,369
1310,15869,27
1311,2302,841
1312,14036,851
1313,356,795
1314,14617,564
1315,13660,249
1316,84,130
1317,18540,1
1318,18094,191
1319,5967,976
1320,759,453
1321,16133,973
1322,16642,931
1323,2415,298
1324,8039,430
1325,18281,269
1326,5858,425
1327,14469,563
1328,15830,229
1329,8552,653
1330,1241,980
1331,1022,957
1332,5747,290
1333,13551,289
1334,15001,42
1335,1340,508
1336,17302,464
1337,19662,3
1338,7993,968
1339,10103,657
1340,15369,949
1341,13375,664
1342,18410,260
1343,6390,880
1344,12717,782
1345,5806,449
1346,18709,648
1347,10265,762
1348,3425,69
1349,11981,521
1350,1276,176
1351,2432,21
1352,2071,51
1353,2255,349
1354,14769,35
1355,10035,254
1356,3515,275
1357,19749,331
1358,18751,182
1359,16654,766
1360,10082,86
1361,14375,485
1362,5963,954
1363,17475,782
1364,18829,177
1365,11594,634
1366,354,552
1367,16705,93
1368,13931,831
1369,18563,271
1370,11521,25
1371,8342,558
1372,16235,9
1373,4943,782
1374,10846,220
1375,15281,211
1376,19830,873
1377,6157,67
1378,15620,511
1379,4111,279
1380,15422,918
1381,18932,563
1382,9874,349
1383,8957,714
1384,19574,477
1385,6794,554
1386,12043,731
1387,15570,372
1388,17072,674
1389,4121,777
1390,2954,620
1391,18825,8
1392,6790,704
1393,6144,4
1394,2461,527
1395,11420,583
1396,12442,324
1397,3515,198
1398,12608,955
1399,12443,632
1400,10361,689
1401,15484,999
1402,10348,402
1403,11557,688
1404,3062,175
1405,15228,463
1406,16360,259
1407,15019,204
1408,816,22
1409,17396,904
1410,19649,268
1411,14450,740
1412,16061,975
1413,8339,148
1414,890,899
1415,10452,382
1416,18902,574
1417,14634,413
1418,12981,165
1419,8615,496
1420,19034,479
1421,5009,908
1422,12569,990
1423,2798,38
1424,5623,127
1425,5646,549
1426,12356,174
1427,612,63
1428,13238,132
1429,8035,615
1430,16903,853
1431,2598,741
1432,11605,818
1433,11625,168
1434,15202,693
1435,14248,122
1436,17150,929
1437,16150,529
1438,6386,993
1439,10599,772
1440,13540,765
1441,13077,621
1442,14463,673
1443,9078,326
1444,19411,402
1445,9793,813
1446,3810,420
1447,17652,19
1448,1253,864
1449,5506,633
1450,6260,644
1451,4855,718
1452,9172,668
1453,11308,681
1454,16989,68
1455,2235,128
1456,19098,337
1457,7130,40
1458,15548,722
1459,4090,572
1460,14824,30
1461,11347,450
1462,12344,464
1463,1313,839
1464,13960,136
1465,611,182
1466,11054,558
1467,10623,759
1468,5571,1
1469,6585,658
1470,10169,174
1471,5484,823
1472,4792,889
1473,4653,141
1474,7761,882
1475,4831,840
1476,6205,941
1477,4901,146
1478,1516,152
1479,8337,991
1480,7176,446
1481,19848,402
1482,15826,36
1483,2713,489
1484,3156,387
1485,8313,578
1486,6871,663
1487,19722,974
1488,1205,351
1489,13759,442
1490,10227,324
1491,12512,803
1492,18962,285
1493,4243,184
1494,11928,125
1495,4529,281
1496,11127,456
1497,5293,206
1498,12532,980
1499,2909,908
1500,15385,483
1501,18868,266
1502,8417,411
1503,9046,778
1504,9603,266
1505,17398,307
1506,9651,573
1507,15513,174
1508,16615,699
1509,12569,363
1510,2435,392
1511,13135,813
1512,15188,697
1513,8441,658
1514,1080,937
1515,10720,588
1516,17458,667
1517,2455,63
1518,13049,366
1519,15753,593
1520,10921,775
1521,5175,270
1522,4334,435
1523,5961,362
1524,3544,907
1525,2532,823
1526,15225,612
1527,6380,380
1528,7488,691
1529,561,654
1530,5998,22
1531,15395,75
1532,3888,427
1533,621,432
1534,18645,695
1535,9296,712
1536,15497,168
1537,2067,857
1538,8851,186
1539,4914,502
1540,4085,752
1541,9843,46
1542,12726,46
1543,18507,365
1544,1216,859
1545,13211,898
1546,6155,878
1547,5280,441
1548,9438,126
1549,6797,435
1550,17027,71
1551,13382,321
1552,13982,70
1553,16431,945
1554,11277,794
1555,6311,64
1556,6168,532
1557,19804,228
1558,9436,908
1559,16683,701
1560,10612,890
1561,2620,774
1562,17384,341
1563,19911,701
1564,10825,335
1565,13554,777
1566,8338,52
1567,19391,843
1568,16940,44
1569,9659,951
1570,17766,725
1571,7854,751
1572,6946,28
1573,18602,395
1574,7309,694
1575,9791,982
1576,9774,847
1577,5148,52
1578,19635,856
1579,2810,499
1580,8267,924
1581,5529,16
1582,16614,67
1583,5759,837
1584,17361,967
1585,10423,67
1586,351,463
1587,15111,824
1588,18032,226
1589,16378,165
1590,8909,606
1591,6107,411
1592,8255,500
1593,10579,544
1594,12306,158
1595,11301,614
1596,6157,820
1597,17502,687
1598,15693,381
1599,16212,492
1600,15608,708
1601,8979,777
1602,2956,213
1603,7496,158
1604,2082,115
1605,1630,880
1606,9935,409
1607,17169,642
1608,16358,136
1609,10245,905
1610,11730,716
1611,3892,581
1612,19979,134
1613,11335,715
1614,12792,139
1615,18274,19
1616,11325,802
1617,6302,117
1618,7742,185
1619,16231,444
1620,289,147
1621,3742,268
1622,16367,677
1623,8993,800
1624,13036,386
1625,13947,107
1626,9552,355
1627,16277,23
1628,1063,328
1629,2074,334
1630,15122,588
1631,715,926
1632,5625,125
1633,15953,716
1634,8383,903
1635,10288,24
1636,3183,163
1637,12858,865
1638,9729,861
1639,1245,906
1640,18372,188
1641,336,824
1642,3664,592
1643,14387,100
1644,2502,452
1645,14142,872
1646,3885,941
1647,15026,484
1648,4044,530
1649,1979,305
1650,15111,64
1651,5705,442
1652,13171,731
1653,18774,597
1654,9267,41
1655,5596,891
1656,9833,539
1657,11768,522
1658,15772,508
1659,11867,496
1660,12125,160
1661,9583,267
1662,14930,450
1663,19039,173
1664,1898,431
1665,17648,749
1666,4627,278
1667,8553,65
1668,4176,766
1669,1661,355
1670,2232,540
1671,5579,373
1672,12752,64
1673,10366,422
1674,1315,294
1675,17924,248
1676,3100,353
1677,1357,91
1678,13853,898
1679,15724,725
1680,4575,465
1681,14698,290
1682,5349,847
1683,18377,971
1684,17568,211
1685,17846,401
1686,14987,343
1687,5597,502
1688,16514,775
1689,2119,747
1690,6075,60
1691,2621,848
1692,8367,354
1693,674,676
1694,4249,373
1695,7316,960
1696,10480,212
1697,10135,525
1698,17440,180
1699,9794,956
1700,1460,130
1701,19151,479
1702,6509,157
1703,17337,87
1704,4633,331
1705,8657,179
1706,4582,189
1707,5921,634
1708,16667,754
1709,8505,196
1710,16351,427
1711,17778,501
1712,13280,523
1713,16272,424
1714,2312,118
1715,6824,182
1716,15627,734
1717,14878,485
1718,16507,28
1719,361,504
1720,3657,831
1721,3646,410
1722,9148,393
1723,6756,848
1724,6983,608
1725,17009,872
1726,6694,777
1727,15793,632
1728,18151,381
1729,3891,195
1730,15134,960
1731,16450,354
1732,5352,451
1733,14251,394
1734,14966,583
1735,17752,163
1736,18698,463
1737,17655,249
1738,15599,899
1739,14086,377
1740,497,521
1741,13725,177
1742,17925,225
1743,13915,903
1744,7846,197
1745,18291,195
1746,10911,347
1747,4536,343
1748,13707,695
1749,17860,586
1750,1944,706
1751,10386,733
1752,13197,824
1753,18453,346
1754,768,608
1755,4965,545
1756,2872,799
1757,13417,878
1758,11530,368
1759,364,397
1760,11143,66
1761,17481,263
1762,19519,112
1763,796,264
1764,7705,229
1765,16883,429
1766,16347,363
1767,9568,205
1768,4127,698
1769,7591,617
1770,13971,707
1771,12755,752
1772,1128,132
1773,14156,882
1774,1055,1000
1775,6338,830
1776,3367,40
1777,9418,25
1778,15611,481
1779,5971,450
1780,6109,503
1781,16995,200
1782,7250,288
1783,7925,52
1784,16255,54
1785,12452,921
1786,12253,8
1787,13595,884
1788,8012,958
1789,17939,319
1790,9043,755
1791,7330,330
1792,5130,287
1793,19202,555
1794,17802,954
1795,2963,833
1796,17250,955
1797,11117,873
1798,9042,274
1799,9273,700
1800,11229,357
1801,18418,310
1802,1791,363
1803,421,28
1804,6013,340
1805,2286,713
1806,15317,356
1807,11719,230
1808,17658,50
1809,6691,492
1810,7968,730
1811,5566,694
1812,4444,539
1813,4318,86
1814,4813,364
1815,16332,958
1816,10381,999
1817,6420,797
1818,18514,995
1819,14659,735
1820,10722,43
1821,6336,362
1822,14423,117
1823,14579,726
1824,3696,119
1825,1607,918
1826,4250,865
1827,14038,756
1828,7669,582
1829,7868,309
1830,9723,1000
1831,12768,748
1832,13774,495
1833,18462,633
1834,10360,988
1835,14985,703
1836,4498,609
1837,10110,972
1838,2749,601
1839,3249,457
1840,3262,37
1841,11148,523
1842,7752,969
1843,4297,407
1844,14662,1000
1845,15148,67
1846,596,462
1847,12230,719
1848,4244,754
1849,11090,842
1850,5407,987
1851,16636,492
1852,880,136
1853,15191,895
1854,5777,357
1855,3349,525
1856,18940,151
1857,13798,906
1858,6351,798
1859,16271,720
1860,16140,799
1861,14601,175
1862,16064,884
1863,16373,41
1864,19500,637
1865,19947,471
1866,4888,331
1867,5827,552
1868,16273,555
1869,19856,72
1870,13590,80
1871,8050,877
1872,14930,857
1873,3442,688
1874,19201,421
1875,8823,632
1876,3560,142
1877,19346,997
1878,5967,814
1879,16000,985
1880,7129,365
1881,1861,46
1882,3649,825
1883,2716,253
1884,72,716
1885,1041,993
